Frequency,MonetaryTotal,CustomerTenureDays,AvgDaysBetweenPurchases,TotalTransactions,Cluster
8,958.9,182,3.272727272727273,56,1
10,3172.04,364,1.894736842105263,191,1
10,1414.99,361,3.680412371134021,98,1
22,4161.14,361,0.7441860465116279,474,1
16,4389.81,348,1.8695652173913044,185,1
2,1522.75,160,1.7777777777777777,91,1
3,1567.4799999999998,343,4.120481927710843,84,1
13,4592.47,362,1.2379310344827583,291,1
3,-95.92999999999998,81,2.7,31,2
8,1780.7699999999998,272,3.493506493506493,78,1
10,2000.86,368,4.55,81,1
2,340.93,197,12.3125,17,1
20,6135.38,368,1.7722772277227723,203,1
1,127.08,0,0.0,21,1
1,207.5,0,0.0,9,1
7,1064.11,346,2.796747967479675,124,1
2,318.05,131,8.1875,17,1
2,363.65,223,10.61904761904762,22,1
11,3542.51,363,1.3846153846153846,261,1
19,4788.77,353,1.9657142857142853,176,1
7,1147.37,350,4.702702702702703,75,1
30,20272.43,363,3.229357798165138,110,1
20,1641.4800000000002,299,2.1954887218045114,134,1
31,4640.77,361,1.408906882591093,248,1
8,984.91,350,4.64,76,1
2,576.2600000000001,348,2.4507042253521125,143,1
2,471.69999999999993,340,3.300970873786408,104,1
7,2272.4,343,4.802816901408451,72,1
2,550.0600000000002,347,12.392857142857142,29,1
1,248.1,0,0.0,13,1
4,1251.84,290,1.9794520547945205,147,1
8,247.66,61,3.0526315789473686,20,1
1,353.19000000000005,0,0.0,65,1
4,907.1,353,1.3696498054474708,258,1
21,33350.759999999995,360,2.113095238095238,169,1
2,294.65000000000003,7,0.3888888888888889,19,1
1,-11.8,0,0.0,2,0
10,1215.8199999999997,320,3.7058823529411766,86,1
13,3991.94,349,1.5825688073394495,219,1
7,3191.53,355,2.736434108527132,130,1
31,10736.11,371,0.8048780487804879,452,1
2,294.11999999999995,159,12.23076923076923,14,1
6,962.39,350,5.612903225806452,63,1
2,-840.7599999999999,34,2.125,17,0
10,4012.56,365,2.0454545454545454,177,1
55,54228.740000000005,368,0.8655256723716381,410,1
5,589.15,313,8.885714285714286,36,1
17,12433.34,367,0.728744939271255,495,1
4,702.25,194,1.155688622754491,168,1
6,744.9000000000001,314,2.1448275862068966,146,1
6,2312.7000000000003,345,2.522058823529412,137,1
8,1906.09,356,1.7053140096618358,208,1
6,644.65,343,7.75,45,1
7,1258.0600000000002,369,5.630769230769231,66,1
23,14634.64,365,1.3891050583657587,258,1
3,1011.9,313,5.305084745762712,60,1
89,10930.259999999998,368,1.0846905537459284,308,1
6,2084.9,301,1.0909090909090908,276,1
14,2954.75,368,2.2625,161,1
11,3787.09,304,27.27272727272728,12,1
4,425.14,214,6.085714285714285,36,1
1,-102.45,0,0.0,5,0
7,1400.88,318,3.247422680412371,98,1
66,113384.14,362,0.2367864693446088,1420,1
2,621.2300000000002,244,6.421052631578948,39,1
9,1133.64,196,1.4028776978417266,140,1
31,5585.49,370,0.4777327935222672,742,1
5,848.48,186,3.2857142857142856,57,1
1,50.55,0,0.0,3,1
63,36351.42,370,0.7876712328767124,439,1
3,635.7600000000001,202,4.785714285714286,43,1
3,319.47,217,12.0,19,1
2,197.95,12,1.2,11,1
1,2002.4,0,0.0,2,1
2,217.9,149,18.625,9,1
5,1561.61,153,1.735632183908046,88,1
5,614.77,332,55.333333333333336,7,1
12,3471.91,369,1.03125,353,1
2,52.2,364,121.33333333333331,4,1
9,4410.14,353,3.1621621621621623,112,1
1,155.35,0,0.0,11,1
10,1906.07,333,2.437037037037037,136,1
6,909.96,329,6.56,51,1
2,490.86,291,20.785714285714285,15,1
39,1296.44,350,1.342741935483871,249,1
13,1603.72,192,0.7791666666666667,241,1
7,1139.73,355,6.941176470588236,52,1
8,7330.8,332,12.76923076923077,27,1
1,-1192.2000000000005,0,0.0,5,0
4,1194.75,368,11.4375,33,1
1,89.14,0,0.0,7,1
7,1685.5700000000002,326,3.951219512195122,83,1
17,5361.02,368,1.2666666666666666,286,1
2,721.3199999999999,5,0.1162790697674418,44,1
2,276.73,184,4.972972972972973,38,1
8,3487.7499999999995,312,3.297872340425532,95,1
26,3876.4,367,0.8127853881278538,439,1
8,3085.4800000000005,366,1.75,209,1
5,708.37,360,10.529411764705882,35,1
1,123.07,0,0.0,48,1
5,809.7,369,1.8217821782178216,203,1
1,39.75,0,0.0,3,1
23,26932.34,346,1.053291536050157,320,1
4,717.45,367,3.163793103448276,117,1
5,11990.96,355,11.03125,33,1
9,1018.43,367,2.022222222222222,181,1
15,4786.99,370,1.6470588235294117,222,1
7,1900.89,280,2.715686274509804,103,1
7,2494.46,307,2.103448275862069,146,1
11,2581.04,342,5.296875,65,1
54,33366.25,367,2.333333333333333,151,1
52,52750.84,370,4.5256410256410255,79,1
12,3868.7,350,2.1835443037974684,159,1
1,230.25000000000003,0,0.0,14,1
4,1865.19,218,1.6240601503759398,134,1
31,12288.22,367,0.6736641221374046,525,1
6,1158.3,361,1.296028880866426,278,1
16,2295.37,365,0.7397540983606558,489,1
8,3661.07,299,6.166666666666667,49,1
17,4241.629999999999,348,2.4113475177304964,142,1
13,2213.11,363,2.6323529411764706,137,1
4,703.7700000000001,318,8.805555555555555,37,1
3,692.2199999999999,347,3.642105263157895,96,1
17,3744.65,368,0.6389380530973451,566,1
2,545.48,36,1.565217391304348,24,1
29,51823.72,363,2.424657534246576,147,1
2,487.99000000000007,306,4.25,73,1
8,1228.3200000000002,347,2.9322033898305087,119,1
1,427.8,0,0.0,24,1
8,775.0700000000002,69,0.4437086092715231,152,1
15,2998.28,355,2.2025316455696204,159,1
7,1841.18,307,3.122448979591837,99,1
21,27964.48,369,0.340566037735849,1061,1
2,292.72,316,3.95,81,1
30,8628.550000000001,368,0.8842364532019704,407,1
24,6945.02,349,3.3106796116504853,104,1
11,3329.72,329,1.0945945945945943,297,1
118,57385.88,366,0.1740301724137931,1857,1
27,8727.61,364,0.3066898349261511,1152,1
4,691.7299999999999,364,2.1040462427745665,174,1
10,1862.14,357,1.521551724137931,233,1
11,6752.139999999999,362,0.988950276243094,363,1
7,665.59,326,2.4545454545454546,133,1
31,7925.320000000001,368,0.7792494481236203,454,1
27,3717.82,368,0.767590618336887,470,1
13,2607.8700000000003,360,0.5385779122541604,662,1
16,4236.34,322,0.8132992327365729,392,1
39,15357.78,360,1.1548821548821548,298,1
28,3770.6,359,3.5510204081632653,99,1
21,4604.219999999999,364,0.3946488294314381,898,1
22,6500.6,355,1.0648148148148149,325,1
17,5315.92,368,1.141065830721003,320,1
2,155.42999999999998,0,0.0,30,1
11,9114.94,346,0.7424242424242424,463,1
5,534.47,55,0.7714285714285715,71,1
4,1661.06,3,0.088235294117647,35,1
11,2087.88,328,1.2716535433070866,255,1
23,6675.710000000001,366,3.838709677419355,94,1
31,5595.77,358,0.269680436477007,1284,1
6,2202.99,353,4.794520547945205,74,1
3,452.82,57,2.0357142857142856,29,1
4,697.9000000000001,329,4.049382716049383,82,1
4,1118.81,223,1.8974358974358967,118,1
2,734.94,356,2.5611510791366907,140,1
2,114.10000000000004,3,0.3,11,1
8,1920.2,356,2.391891891891892,149,1
5,3095.04,339,0.6563106796116505,516,1
6,3844.22,355,1.106918238993711,319,1
9,2299.67,342,1.599056603773585,213,1
2,154.82999999999998,184,61.333333333333336,4,1
13,4109.97,362,1.082066869300912,330,1
2,313.28,0,0.0,106,1
1,623.7500000000001,0,0.0,45,1
5,3724.77,63,0.2966507177033493,210,1
12,5155.66,363,1.808080808080808,199,1
20,2941.05,366,1.0084033613445378,358,1
3,1110.52,153,1.4205607476635511,108,1
6,3160.0,310,2.095238095238096,148,1
2,214.65,349,7.931818181818182,45,1
2,299.6,104,1.7627118644067796,60,1
12,6763.16,366,0.6441281138790036,563,1
13,2633.8499999999995,364,6.189655172413793,59,1
7,1429.9,350,1.1672240802675586,300,1
13,3669.92,346,2.677165354330709,128,1
2,263.55,115,2.875,41,1
16,3797.79,363,0.7748917748917749,463,1
5,2012.17,351,1.107936507936508,316,1
20,4758.200000000001,357,0.3798701298701298,925,1
2,642.7700000000001,314,8.722222222222221,37,1
2,446.87,212,2.3043478260869565,93,1
10,1634.5299999999995,354,3.431372549019608,103,1
7,2419.84,365,3.102564102564102,118,1
29,5713.28,366,0.9972067039106144,359,1
75,33805.69,351,0.7964824120603015,399,1
11,4196.009999999999,366,3.5588235294117645,103,1
23,5541.460000000001,353,1.3824701195219125,252,1
2,494.08,230,13.529411764705882,18,1
4,904.67,101,0.6451612903225806,156,1
14,2622.57,331,0.9908536585365854,329,1
7,1434.7200000000005,335,3.233009708737864,104,1
2,467.0400000000001,354,16.09090909090909,23,1
3,2817.03,352,1.121405750798722,314,1
7,1451.28,356,2.5467625899280577,140,1
43,16219.22,367,1.1,321,1
3,1095.08,322,5.193548387096774,63,1
2,179.94,351,31.90909090909091,12,1
33,17078.449999999997,368,1.043859649122807,343,1
26,5352.97,367,0.7085828343313373,502,1
2,345.8900000000001,2,0.1666666666666666,13,1
11,2019.77,366,3.1842105263157894,115,1
4,1046.56,365,6.05,61,1
6,1311.79,339,3.7142857142857135,92,1
11,1676.47,346,3.617021276595745,95,1
2,551.0400000000001,294,11.307692307692308,27,1
3,483.65,331,12.25925925925926,28,1
16,1708.86,347,11.758620689655173,30,1
1,56.25,0,0.0,4,1
16,2616.32,338,1.9132947976878607,174,1
6,1384.6799999999998,367,4.244186046511628,87,1
2,290.4,10,0.5555555555555556,19,1
6,939.32,349,7.565217391304348,47,1
52,19786.44,359,0.2249502322495023,1508,1
2,639.8900000000001,349,2.4577464788732395,143,1
3,321.04999999999995,85,4.473684210526316,20,1
8,977.2099999999998,327,2.2907801418439715,142,1
24,4604.31,366,1.286231884057971,277,1
10,680.3000000000002,307,12.16,26,1
4,701.33,182,5.055555555555555,37,1
8,889.9300000000002,241,3.4,71,1
30,7116.469999999999,351,0.743421052631579,457,1
8,1773.92,353,1.7277227722772277,203,1
5,380.5700000000001,303,3.1030927835051547,98,1
14,5028.119999999999,317,1.2682926829268293,247,1
4,1096.6699999999998,365,13.0,29,1
4,444.46,342,2.1049382716049383,163,1
12,2226.9100000000003,364,3.0083333333333333,121,1
7,2827.9300000000003,345,1.271375464684015,270,1
38,9623.35,361,0.7733333333333333,451,1
19,4435.790000000001,366,0.7955555555555556,451,1
1,252.8,0,0.0,58,1
4,971.7600000000002,335,3.9642857142857135,85,1
4,627.1300000000001,360,7.638297872340425,48,1
11,2596.4500000000003,212,0.6349693251533742,327,1
2,603.37,220,1.7886178861788615,124,1
4,1272.61,357,1.5236051502145922,234,1
7,1183.58,341,2.3541666666666665,145,1
16,4711.21,351,1.5110132158590308,228,1
5,495.36000000000007,169,7.3478260869565215,24,1
27,9231.2,357,0.6017391304347826,576,1
10,2483.04,349,0.8628428927680798,402,1
9,2266.25,259,0.9923076923076924,261,1
11,2816.9700000000003,365,1.3175182481751824,275,1
7,2459.3299999999995,358,3.0084745762711864,119,1
1,123.24,0,0.0,8,1
22,4531.34,355,1.1756756756756757,297,1
10,2766.5,336,0.6428571428571429,519,1
2,426.79,58,1.2083333333333333,49,1
13,1446.95,365,3.8297872340425534,95,1
2,799.4800000000001,356,3.63265306122449,99,1
7,2095.13,340,1.4322033898305084,237,1
22,7521.17,365,1.0984615384615384,326,1
7,1908.25,297,5.462962962962963,55,1
5,594.9699999999999,227,7.533333333333333,31,1
3,151.65,308,44.0,8,1
8,1776.81,322,2.864864864864865,112,1
6,1990.12,360,7.019607843137255,52,1
7,1839.07,351,4.243902439024391,83,1
10,1960.72,363,1.315018315018315,274,1
4,732.1599999999999,355,2.5285714285714285,141,1
7,1777.92,356,3.2777777777777777,109,1
15,1083.63,359,6.679245283018868,54,1
3,1200.62,267,3.6944444444444446,73,1
19,2242.25,357,1.770408163265306,197,1
5,2483.63,363,7.36734693877551,50,1
5,428.18,260,6.666666666666667,40,1
5,647.7400000000004,223,2.642857142857143,85,1
2,278.15000000000003,56,2.6666666666666665,22,1
13,1872.28,359,0.7384937238493724,479,1
4,664.5400000000001,59,1.7058823529411764,35,1
55,187482.17,359,0.9771428571428572,351,1
10,3802.81,365,1.8426395939086293,198,1
5,1125.0700000000002,323,4.1688311688311686,78,1
3,571.2,194,96.5,3,1
2,816.0,31,31.0,2,1
27,13677.59,353,0.5271317829457365,646,1
10,3478.85,364,2.161676646706587,168,1
19,13110.02,365,0.5152394775036284,690,1
6,1459.86,301,1.670391061452514,180,1
4,1195.94,341,6.938775510204081,50,1
4,456.26,329,10.580645161290322,32,1
15,9451.54,358,1.6372093023255814,216,1
15,5145.120000000001,365,2.5211267605633805,143,1
5,574.0,70,2.225806451612903,32,1
36,10664.34,362,0.6953907815631263,500,1
2,777.0200000000002,113,1.8225806451612905,63,1
1,181.11999999999995,0,0.0,30,1
11,3541.920000000001,366,3.302752293577982,110,1
15,3729.34,364,2.3096774193548386,156,1
2,373.75,350,4.166666666666667,85,1
35,12396.46,366,0.6800766283524904,523,1
5,1736.4,364,4.958904109589041,74,1
17,8910.61,350,0.8075117370892019,427,1
3,864.86,330,3.4375,97,1
4,1641.7599999999998,251,2.192982456140351,115,1
4,845.64,350,2.884297520661157,122,1
10,1661.33,357,2.305194805194805,155,1
41,20098.1,366,0.4819444444444444,721,1
16,2771.87,365,2.528169014084507,143,1
16,3754.27,362,0.5021156558533145,710,1
6,1119.31,307,7.82051282051282,40,1
1,230.4,0,0.0,7,1
13,3219.7700000000004,345,2.0853658536585367,165,1
2,353.65000000000003,363,8.642857142857142,43,1
5,1438.85,351,1.8368421052631576,191,1
1,87.5,0,0.0,6,1
7,4310.000000000001,365,2.0,182,1
8,3899.1,364,6.016666666666667,61,1
12,2236.74,358,2.974789915966386,120,1
14,4200.97,355,1.6956521739130437,208,1
11,1695.66,357,2.242038216560509,158,1
9,602.2700000000001,153,3.5348837209302326,44,1
3,1178.56,310,7.536585365853658,42,1
8,2215.0200000000004,293,1.7469879518072289,167,1
16,5583.62,364,1.1396825396825396,316,1
1,112.6,0,0.0,7,1
1,289.35,0,0.0,13,1
6,487.35,345,10.058823529411764,35,1
62,256438.49,366,0.8194444444444444,433,1
9,1540.42,349,6.9,51,1
13,1889.4,364,1.2939068100358424,280,1
1,48.8,0,0.0,2,1
4,481.35,337,12.444444444444445,28,1
43,12432.28,365,0.9182058047493404,380,1
27,4404.4400000000005,364,1.5874439461883407,224,1
28,5684.61,357,0.8123515439429929,422,1
26,9294.1,363,1.375,257,1
10,2865.64,362,2.2884615384615383,157,1
2,401.9,29,3.2222222222222223,10,1
27,7839.51,365,0.3049828178694158,1165,1
28,10454.05,364,1.0349854227405249,344,1
33,5030.6,365,1.338403041825095,264,1
4,740.3999999999999,335,18.55555555555556,19,1
11,2633.01,358,1.5663716814159292,227,1
9,1088.53,350,12.814814814814817,28,1
5,1928.72,36,0.3043478260869565,116,1
9,2451.23,364,1.227891156462585,295,1
13,2590.46,337,2.972972972972973,112,1
9,3385.6200000000003,308,1.4780487804878049,206,1
1,173.55,0,0.0,11,1
39,9803.96,363,2.907563025210084,120,1
18,2929.84,364,2.3509933774834435,152,1
22,10097.37,362,0.9035532994923858,395,1
5,2806.9,310,1.3628318584070795,227,1
29,11895.57,364,1.763819095477387,200,1
15,7912.790000000001,320,2.1283783783783785,149,1
14,4393.610000000001,351,1.162162162162162,297,1
4,684.42,293,7.864864864864865,38,1
10,2056.29,361,2.5460992907801416,142,1
3,99.77,130,26.0,6,1
24,8257.04,365,0.7505285412262156,474,1
21,6840.2300000000005,348,0.5356576862123613,632,1
1,145.93,0,0.0,45,1
12,3967.78,343,0.5007429420505201,674,1
3,559.51,342,2.85,121,1
10,1483.31,363,1.521186440677966,237,1
6,2380.6400000000003,270,2.2521008403361344,120,1
4,990.23,348,7.081632653061225,50,1
3,781.3599999999999,209,1.1483516483516485,183,1
26,15477.34,365,1.6542056074766356,215,1
10,1491.2400000000002,350,2.1823899371069184,160,1
5,422.13,295,12.208333333333334,25,1
3,555.89,306,5.258620689655173,59,1
5,4464.1,110,2.037037037037037,55,1
11,2741.08,326,1.9754601226993864,164,1
10,2119.41,344,7.555555555555555,46,1
40,10510.0,365,1.2616487455197132,280,1
14,5664.57,203,2.3411764705882354,86,1
4,1007.35,341,6.538461538461538,53,1
24,1925.36,364,3.349056603773585,107,1
5,1253.36,313,28.454545454545453,12,1
18,2855.3500000000004,358,2.1552795031055902,162,1
3,2338.6000000000004,341,8.317073170731707,42,1
7,1383.2700000000002,362,4.602564102564102,79,1
1,129.75,0,0.0,3,1
2,138.9,8,1.1428571428571428,8,1
7,6989.63,362,1.1650485436893203,310,1
14,3774.1,364,1.865284974093264,194,1
3,212.96,215,12.588235294117649,18,1
6,3755.38,333,1.8863636363636365,177,1
1,-14.9,0,0.0,2,0
35,6180.49,350,0.2916307161345988,1160,1
14,3429.9700000000003,245,1.5933333333333333,151,1
3,1333.6799999999998,356,4.6103896103896105,78,1
2,346.6,109,4.954545454545454,23,1
8,1119.81,294,1.515625,193,1
4,538.59,356,22.1875,17,1
13,14197.45,355,3.431372549019608,103,1
4,729.2700000000001,365,3.2882882882882885,112,1
14,2205.63,357,2.6793893129771,132,1
2,483.80000000000007,161,7.666666666666667,22,1
3,1255.0,273,68.25,5,1
3,423.72,258,5.711111111111111,46,1
3,346.75,222,11.68421052631579,20,1
2,382.06000000000006,329,3.5760869565217392,93,1
1,201.6,0,0.0,5,1
16,11891.18,357,0.8321513002364066,424,1
6,488.03,339,21.0,17,1
7,1044.7800000000002,277,2.1307692307692307,131,1
8,2360.09,348,1.4256198347107438,243,1
1,-295.09000000000003,0,0.0,21,0
2,250.15,350,31.818181818181817,12,1
17,5040.0,357,1.1286173633440515,312,1
16,3362.71,357,1.6635071090047393,212,1
8,2571.7400000000007,355,3.815217391304348,93,1
9,3278.36,357,1.502127659574468,236,1
14,2535.88,357,2.3877551020408165,148,1
9,1841.03,357,3.7157894736842105,96,1
5,893.6600000000001,153,3.234042553191489,48,1
2,-43.400000000000006,222,44.4,6,1
3,683.9000000000001,234,3.1621621621621623,75,1
12,1552.0099999999998,340,3.612903225806452,94,1
12,9065.76,363,4.022471910112359,90,1
29,8234.8,360,0.6267857142857143,561,1
11,5590.860000000001,342,1.5576036866359446,218,1
7,2628.98,334,2.0306748466257667,164,1
23,13612.07,364,0.7484143763213531,474,1
2,453.0,108,4.5,25,1
20,8221.09,361,0.9806094182825484,362,1
4,2203.2,115,23.0,6,1
29,8025.019999999999,356,3.0530973451327434,114,1
3,194.18,5,0.3125,17,1
2,263.75,11,0.6111111111111112,19,1
13,1139.35,355,4.192771084337349,84,1
25,26763.34,362,6.4,56,1
4,748.94,353,8.380952380952381,43,1
1,363.53,0,0.0,17,1
4,3750.4,356,3.6979166666666665,97,1
2,326.4,349,116.33333333333331,4,1
1,174.4,0,0.0,11,1
8,706.7,364,16.40909090909091,23,1
2,468.77,160,3.809523809523809,43,1
5,2357.6800000000003,357,6.574074074074074,55,1
4,663.6500000000001,269,4.0606060606060606,67,1
2,316.24999999999994,111,6.529411764705882,18,1
1,372.09,0,0.0,74,1
2,265.76000000000005,332,25.53846153846154,14,1
4,1036.62,179,1.141025641025641,157,1
1,181.0,0,0.0,2,1
5,680.28,299,17.529411764705884,18,1
31,16173.67,361,0.5368098159509203,653,1
27,6336.29,363,1.145631067961165,310,1
4,218.78,354,9.31578947368421,39,1
6,1719.7200000000005,335,4.2025316455696204,80,1
16,2485.82,358,1.2737226277372262,275,1
5,1861.11,326,2.8508771929824563,115,1
5,2306.5200000000004,322,3.67816091954023,88,1
1,300.92,0,0.0,12,1
1,414.88,0,0.0,66,1
2,215.08,340,28.33333333333333,13,1
4,36.56,328,20.4375,17,1
12,2584.4,361,2.6842105263157894,134,1
10,2609.3,348,1.26007326007326,274,1
6,1284.0800000000002,349,5.783333333333333,61,1
4,995.66,145,2.7358490566037736,54,1
4,603.71,257,8.03125,33,1
5,1100.4699999999998,344,5.796610169491525,60,1
2,599.9700000000001,38,0.5846153846153846,66,1
2,243.36,270,33.75,9,1
10,2716.6,355,3.988636363636364,89,1
5,319.1,5,0.1428571428571428,22,1
9,937.92,363,1.7028301886792452,213,1
3,1044.3200000000002,245,4.9,51,1
10,1545.14,364,6.189655172413793,59,1
2,277.41,10,0.5,21,1
6,1682.36,356,9.86111111111111,37,1
10,2210.26,335,2.381294964028777,140,1
4,472.12,293,4.112676056338028,72,1
8,1468.12,362,3.849462365591398,94,1
1,249.86,0,0.0,17,1
9,2171.32,348,2.4855072463768115,139,1
9,3617.5699999999993,326,2.990740740740741,109,1
6,2508.89,348,2.393103448275862,146,1
11,2545.38,315,2.246376811594203,139,1
7,459.9,192,2.467532467532468,78,1
1,-7.5,0,0.0,3,0
5,1005.5,329,5.377049180327869,62,1
2,894.41,304,5.96078431372549,52,1
9,1343.34,264,3.132530120481928,84,1
3,441.6000000000001,140,23.166666666666668,7,1
5,981.65,336,2.2266666666666666,151,1
22,3457.78,357,0.84375,417,1
12,2664.26,355,1.0294117647058822,341,1
18,3250.6400000000003,364,1.0172910662824208,348,1
15,2763.41,360,0.5793780687397708,612,1
20,8986.689999999999,357,0.5506329113924051,633,1
10,2385.0,363,0.9185750636132316,394,1
20,5452.17,341,1.0980392156862746,307,1
14,2201.05,326,2.56,126,1
3,841.0799999999999,328,13.625,25,1
5,1995.46,359,1.634703196347032,220,1
11,5423.15,355,1.3629343629343629,260,1
1,458.92,0,0.0,26,1
3,534.8500000000001,258,8.566666666666666,31,1
14,1965.55,338,1.7513227513227514,190,1
14,18793.41,341,1.2173913043478262,277,1
6,1058.06,354,1.7121951219512197,206,1
1,182.25,0,0.0,29,1
6,295.61,54,1.358974358974359,40,1
1,203.1,0,0.0,41,1
21,8568.24,342,4.177215189873418,80,1
2,147.2,188,6.962962962962963,28,1
3,935.06,110,2.0754716981132075,54,1
21,2916.1700000000005,360,3.320754716981132,107,1
4,1153.62,355,5.603174603174603,64,1
8,1418.03,296,0.7798408488063661,378,1
10,3450.24,362,2.182926829268293,165,1
6,1573.41,250,2.53061224489796,99,1
15,2380.08,358,2.591240875912409,138,1
17,3348.4800000000005,335,0.9508670520231214,347,1
19,6854.51,361,5.298507462686567,68,1
8,2688.48,312,2.5121951219512195,124,1
8,438.24,52,1.6451612903225807,32,1
2,305.71,361,25.785714285714285,15,1
1,272.81999999999994,0,0.0,46,1
13,2963.19,352,1.6036866359447004,218,1
2,309.04,288,9.6,31,1
27,10158.54,333,0.8376288659793815,389,1
14,3198.25,339,0.7112526539278131,472,1
1,173.7,0,0.0,3,1
10,7066.31,359,1.2326388888888888,289,1
12,10464.850000000002,354,3.1818181818181817,111,1
7,2186.2000000000007,345,3.648936170212766,95,1
5,1483.56,331,2.69672131147541,123,1
2,375.35,354,18.63157894736842,20,1
1,147.09,0,0.0,70,1
1,283.28,0,0.0,39,1
26,6666.83,350,0.4877697841726618,696,1
14,4678.3,343,0.2799339388934764,1212,1
