Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,CustomerTenureDays,AvgDaysBetweenPurchases,UniqueProducts,UniqueCountries,ZeroPriceCount,CancelledTransactions,TotalTransactions,AvgLinesPerInvoice,Age,SupportTicketsCount,PreferredTimeOfDay,RegAnciennete,IP_privee,AvgBasketValue,CancelRatio,Region_Afrique,Region_Amérique du Nord,Region_Amérique du Sud,Region_Asie,Region_Autre,Region_Europe centrale,Region_Europe continentale,Region_Europe de l'Est,Region_Europe du Nord,Region_Europe du Sud,Region_Moyen-Orient,Region_Océanie,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Explorateur,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown,Churn,Cluster
9,688.0400000000001,17.642051282051284,17.172080642026128,-29.700000000000003,67.6,578,14.82051282051282,-6,96,299,7.7894736842105265,32,1,0,2,39,4.333333333333333,42.0,1.0,2,820,0,68.804,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
4,780.4599999999999,26.912413793103447,36.458778548536586,-32.849999999999994,175.2,252,8.689655172413794,-3,36,289,10.25,26,1,0,3,29,7.25,49.0,5.0,1,788,0,156.09199999999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
1,99.14,8.261666666666668,7.328686888873853,0.39,25.200000000000003,40,3.333333333333333,1,12,0,0.0,12,1,0,0,12,12.0,63.0,2.0,2,559,0,49.57,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
29,8025.019999999999,70.39491228070175,66.25195505875493,-34.0,350.4,2278,19.98245614035088,-7,120,356,3.0530973451327434,39,1,0,4,114,3.931034482758621,49.0,0.0,1,748,0,267.50066666666663,0.0347826086956521,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
1,204.24,29.17714285714285,9.706268960978628,15.0,45.0,76,10.857142857142858,4,12,0,0.0,7,1,0,0,7,7.0,76.0,4.0,2,440,0,102.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2,398.84,6.9971929824561405,7.926663807858071,0.12,39.84,573,10.052631578947368,1,75,54,0.9642857142857144,47,1,0,0,57,28.5,49.0,0.0,2,758,0,132.94666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,58.49,4.8741666666666665,4.624392752928035,0.55,15.3,34,2.833333333333333,1,6,0,0.0,12,1,0,0,12,12.0,41.0,3.0,3,675,0,29.245,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
1,348.99000000000007,16.618571428571432,6.632943755011259,5.04,41.6,214,10.19047619047619,2,25,0,0.0,21,1,0,0,21,21.0,49.0,0.0,2,482,0,174.49500000000003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
6,1550.13,19.376625,26.037892054511733,-1.65,192.0,1947,24.3375,-1,600,200,2.5063291139240507,63,1,0,1,80,13.333333333333334,61.0,3.0,3,730,0,221.4471428571429,0.0123456790123456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
2,351.45,18.49736842105263,28.414577018398543,-37.5,102.0,52,2.736842105263158,-3,12,3,0.1666666666666666,15,1,0,4,19,9.5,49.0,1.0,1,553,0,117.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2,778.0,129.66666666666666,152.52507553404675,6.4,390.0,2100,350.0,20,720,141,28.2,5,1,0,0,6,3.0,40.0,2.0,1,789,0,259.3333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2
2,1156.36,16.060555555555553,10.951461525575748,0.75,41.76,1249,17.34722222222222,1,144,197,2.7746478873239435,54,1,0,0,72,36.0,49.0,2.0,3,993,0,385.4533333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2
9,3000.36,5.485118829981719,10.89924716519012,-165.0,165.0,2543,4.6489945155393055,-1,72,254,0.4633699633699634,339,1,0,1,547,60.77777777777778,58.0,2.0,3,1092,0,300.036,0.0018248175182481,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
6,2466.86,27.40955555555556,23.523037711380653,6.8,158.4,2089,23.211111111111112,1,288,223,2.4831460674157304,85,2,0,0,90,15.0,49.0,1.0,1,743,0,352.40857142857146,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
17,4063.1,18.72396313364056,10.744982892913557,-5.9,71.4,2061,9.497695852534562,-2,30,365,1.6574074074074074,117,1,0,3,217,12.764705882352942,27.0,3.0,2,801,0,225.72777777777776,0.0137614678899082,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
1,265.2,88.39999999999999,71.64244551939862,20.4,163.2,120,40.0,24,64,0,0.0,3,1,0,0,3,3.0,49.0,1.0,3,599,0,132.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
2,293.1,58.620000000000005,29.21013522734874,29.700000000000003,102.0,66,13.2,6,24,56,14.0,3,1,0,0,5,2.5,49.0,2.0,3,640,0,97.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
7,5178.959999999999,17.148874172185426,22.105158822519964,0.55,250.0,3065,10.149006622516556,1,50,342,1.1262458471760797,213,1,0,0,302,43.142857142857146,45.0,2.0,3,794,0,647.3699999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
3,709.7099999999999,16.129772727272726,5.029535781730162,2.9,23.6,321,7.295454545454546,2,24,187,4.325581395348837,39,1,0,0,44,14.666666666666666,49.0,4.0,2,915,0,177.42749999999998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2
28,9295.67,31.19352348993289,23.913270494121782,-41.6,198.0,4233,14.204697986577182,-20,72,313,1.0134680134680134,151,1,0,8,298,10.642857142857142,49.0,2.0,2,915,0,320.5403448275862,0.0267558528428093,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
1,90.6,15.1,5.868560300448483,3.9,19.8,64,10.666666666666666,6,12,0,0.0,6,1,0,0,6,6.0,26.0,2.0,3,704,0,45.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
1,314.1,28.55454545454546,16.92107346691478,12.6,49.8,116,10.545454545454543,6,12,0,0.0,11,1,0,0,11,11.0,53.0,0.0,2,779,0,157.05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
20,33462.81,328.06676470588235,675.0280078342797,-2432.7000000000003,4176.0,23377,229.18627450980392,-432,2880,336,3.247524752475248,29,1,0,20,102,5.1,49.0,2.0,2,807,0,1593.4671428571428,0.1941747572815534,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
7,2692.85,24.70504587155964,17.911250066175214,-4.95,108.48,1685,15.458715596330276,-1,120,346,3.185185185185185,66,1,0,1,109,15.571428571428571,23.0,2.0,2,880,0,336.60625,0.009090909090909,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
16,2485.82,9.039345454545456,7.9381467624730515,-21.25,43.35,1257,4.570909090909091,-5,24,358,1.2737226277372262,184,1,0,1,275,17.1875,25.0,3.0,2,948,0,146.22470588235296,0.0036231884057971,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
1,463.8,77.3,73.05173509233028,15.0,204.0,140,23.33333333333333,12,48,0,0.0,6,1,0,0,6,6.0,49.0,3.0,1,435,0,231.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2,1628.12,21.144415584415583,15.531661592534688,5.04,80.0,944,12.25974025974026,2,24,39,0.5131578947368421,72,1,0,0,77,38.5,20.0,5.0,1,850,0,542.7066666666666,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1,63.75,63.75,0.0,63.75,63.75,5,5.0,5,5,0,,1,1,0,0,1,1.0,49.0,3.0,3,652,0,31.875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
3,270.79,3.563026315789474,2.1821353576939826,0.65,13.05,204,2.6842105263157894,1,9,84,1.12,61,1,0,0,76,25.33333333333333,49.0,1.0,2,805,0,67.6975,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
1,122.64,15.33,5.0447936387074215,9.36,25.5,93,11.625,2,25,0,0.0,8,1,0,0,8,8.0,52.0,4.0,1,470,0,61.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
3,339.43999999999994,15.429090909090906,14.431529935424598,0.55,51.0,106,4.818181818181818,1,18,134,6.380952380952381,20,1,0,0,22,7.333333333333333,57.0,3.0,3,677,0,84.85999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
1,255.9,21.325,13.82971800146337,5.04,45.0,205,17.083333333333332,4,48,0,0.0,12,1,0,0,12,12.0,71.0,1.0,1,467,0,127.95,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1,393.49,18.737619047619045,25.481036655670408,1.95,102.0,406,19.33333333333333,1,120,0,0.0,21,1,0,0,21,21.0,25.0,3.0,1,1004,0,196.745,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
2,379.50999999999993,17.25045454545454,9.632244695749163,-9.95,30.6,145,6.590909090909091,-6,24,6,0.2857142857142857,20,1,0,2,22,11.0,49.0,1.0,1,969,0,126.50333333333332,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
1,208.97,12.292352941176471,6.298406077544307,5.04,30.0,197,11.588235294117649,1,24,0,0.0,17,1,0,0,17,17.0,49.0,3.0,1,806,0,104.485,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
3,1843.0,80.1304347826087,66.61718611714254,9.0,179.0,1380,60.0,12,200,21,0.9545454545454546,13,1,0,0,23,7.666666666666667,49.0,0.0,3,638,0,460.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
5,1727.17,21.589625,22.45506547931624,-39.8,120.0,1184,14.8,-36,96,46,0.5822784810126582,68,1,0,2,80,16.0,39.0,0.0,2,532,0,287.8616666666667,0.0246913580246913,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
16,2611.58,5.192007952286282,6.33036259479739,-29.85,45.760000000000005,1639,3.2584493041749503,-12,36,369,0.7250996015936255,299,1,0,3,503,31.4375,70.0,1.0,2,785,0,153.62235294117647,0.0059523809523809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
7,879.08,15.156551724137932,9.147920203037264,-6.25,34.8,538,9.275862068965518,-1,36,173,3.0,50,1,0,5,58,8.285714285714286,49.0,4.0,2,736,0,109.885,0.0847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
4,761.38,7.769183673469388,11.618780448935054,0.38,90.0,517,5.275510204081633,1,72,148,1.5257731958762886,73,1,0,0,98,24.5,50.0,1.0,2,599,0,152.276,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
2,342.92,15.587272727272728,7.025771729729653,-6.35,25.5,198,9.0,-1,36,9,0.4285714285714285,21,1,0,1,22,11.0,49.0,1.0,2,969,0,114.30666666666669,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
3,740.9499999999999,17.231395348837207,14.3726387843601,5.04,102.0,430,10.0,1,40,79,1.880952380952381,42,1,0,0,43,14.333333333333334,39.0,2.0,2,803,0,185.2375,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
7,1357.6,6.558454106280194,5.938537668268733,0.39,36.0,778,3.758454106280193,1,100,230,1.1067961165048543,147,1,0,0,207,29.571428571428573,56.0,2.0,2,656,0,169.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2
4,740.3999999999999,38.96842105263157,41.4183745138365,-35.400000000000006,131.39999999999998,427,22.473684210526315,-24,72,335,18.55555555555556,16,1,0,2,19,4.75,21.0,4.0,1,1040,0,148.07999999999998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2
12,9065.76,100.73066666666666,79.57478366326974,-2.5,432.0,4250,47.22222222222222,-2,600,363,4.022471910112359,28,1,0,1,90,7.5,49.0,3.0,2,586,0,697.3661538461539,0.0109890109890109,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
2,526.6700000000001,5.374183673469388,5.926387770569301,0.29,39.9,239,2.438775510204082,1,25,121,1.2474226804123711,90,1,0,0,98,49.0,49.0,5.0,2,625,0,175.5566666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
5,2158.3700000000003,19.44477477477478,22.178149805888875,0.19,104.0,1148,10.342342342342342,1,50,273,2.4727272727272727,80,1,0,0,111,22.2,75.0,6.0,1,860,0,359.7283333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,2
2,609.8500000000001,21.78035714285715,8.422267875342197,12.6,42.96,241,8.607142857142858,3,24,232,8.592592592592593,27,1,0,0,28,14.0,54.0,1.0,1,728,0,203.2833333333334,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2
6,912.74,6.084933333333333,5.0300912965771865,-1.95,20.8,651,4.34,-1,12,239,1.5906040268456376,79,1,0,1,150,25.0,59.0,2.0,3,940,0,130.39142857142858,0.0066225165562913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2
3,1313.5500000000002,20.208461538461545,8.512741411916249,7.56,48.900000000000006,684,10.523076923076925,1,48,203,3.15625,57,1,0,0,65,21.666666666666668,61.0,2.0,3,401,0,328.38750000000005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
5,708.37,20.239142857142856,25.41417452703818,-60.48,68.0,236,6.742857142857143,-288,288,360,10.529411764705882,26,1,0,4,35,7.0,39.0,1.0,3,865,0,118.06166666666668,0.1111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2
19,4788.77,27.208920454545456,20.61559934957525,-13.2,98.1,2967,16.857954545454547,-8,60,353,1.9657142857142853,46,1,0,3,176,9.263157894736842,49.0,2.0,2,812,0,239.43850000000003,0.0169491525423728,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2
4,812.9999999999999,3.4159663865546213,3.0283494047102337,0.42,22.950000000000003,557,2.3403361344537816,1,16,94,0.3924050632911392,166,1,0,0,238,59.5,33.0,1.0,3,741,0,162.59999999999997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
1,537.0,179.0,0.0,179.0,179.0,300,100.0,100,100,0,0.0,3,1,0,0,3,3.0,42.0,2.0,3,504,0,268.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
3,571.2,190.4,124.64605890279884,81.6,326.4,224,74.66666666666667,32,128,194,96.5,1,1,0,0,3,1.0,52.0,3.0,1,772,0,142.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2
1,178.26,9.903333333333332,4.937136583796201,0.95,17.85,43,2.388888888888889,1,7,0,0.0,18,1,0,0,18,18.0,49.0,1.0,2,481,0,89.13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
1,338.95000000000005,17.839473684210528,6.3940636302434735,10.9,39.6,93,4.894736842105263,1,12,0,0.0,19,1,0,0,19,19.0,49.0,1.0,3,689,0,169.47500000000002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
5,319.1,14.504545454545456,14.383927117006651,-25.5,35.400000000000006,122,5.545454545454546,-2,12,5,0.1428571428571428,20,1,0,3,22,4.4,57.0,3.0,1,773,0,53.18333333333334,0.1304347826086956,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
5,3148.2,262.35,295.8728612089997,-594.0,594.0,636,53.0,-120,120,170,15.272727272727272,6,1,0,1,12,2.4,43.0,2.0,2,627,0,524.6999999999999,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2
2,291.05,3.638125,3.0696328456286146,0.78,14.75,120,1.5,1,7,114,1.4430379746835442,73,1,0,0,80,40.0,48.0,2.0,2,856,0,97.01666666666668,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
1,655.7499999999999,28.510869565217387,19.9875831712508,6.64,79.2,265,11.521739130434783,4,48,0,0.0,23,1,0,0,23,23.0,38.0,1.0,2,598,0,327.87499999999994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
